211.43.152.55 - - [27/Feb/2011:00:17:57 -0500] "GET /atom.xml" 200 - - "Mozilla/5.0 Firefox/3.0.5"
66.147.236.94 - - [27/Feb/2011:20:44:34 -0500] "GET /programming-power-font" 200 - - "Mozilla/5.0 (compatible; Mp3Bot/0.7; +http://mp3realm.org/mp3bot/)"
66.147.236.94 - - [27/Feb/2011:20:44:47 -0500] "GET /responses/rss.xml" 200 - - "Mozilla/5.0 (compatible; Mp3Bot/0.7; +http://mp3realm.org/mp3bot/)"
66.147.236.94 - - [27/Feb/2011:20:44:48 -0500] "GET /rss.xml" 200 - - "Mozilla/5.0 (compatible; Mp3Bot/0.7; +http://mp3realm.org/mp3bot/)"
66.147.236.94 - - [27/Feb/2011:20:44:50 -0500] "GET /replyToBlogEntry.action?entry=1298241840000&amp;comment=1298385662550" 200 - - "Mozilla/5.0 (compatible; Mp3Bot/0.7; +http://mp3realm.org/mp3bot/)"
66.147.236.94 - - [27/Feb/2011:20:44:51 -0500] "GET /replyToBlogEntry.action?entry=1298241840000&amp;comment=1297976184495" 200 - - "Mozilla/5.0 (compatible; Mp3Bot/0.7; +http://mp3realm.org/mp3bot/)"
66.147.236.94 - - [27/Feb/2011:20:44:55 -0500] "GET /replyToBlogEntry.action?entry=1298241840000&amp;comment=1298509852636" 200 - - "Mozilla/5.0 (compatible; Mp3Bot/0.7; +http://mp3realm.org/mp3bot/)"
66.147.236.94 - - [27/Feb/2011:20:44:56 -0500] "GET /authors/heow/" 200 - - "Mozilla/5.0 (compatible; Mp3Bot/0.7; +http://mp3realm.org/mp3bot/)"
66.147.236.94 - - [27/Feb/2011:20:44:56 -0500] "GET /generateTrackBackLink.action?entry=1298241840000" 200 - - "Mozilla/5.0 (compatible; Mp3Bot/0.7; +http://mp3realm.org/mp3bot/)"
66.147.236.94 - - [27/Feb/2011:20:44:57 -0500] "GET /search.action" 200 - - "Mozilla/5.0 (compatible; Mp3Bot/0.7; +http://mp3realm.org/mp3bot/)"
66.147.236.94 - - [27/Feb/2011:20:44:57 -0500] "GET /replyToBlogEntry.action?entry=1298241840000&amp;comment=1298581733747" 200 - - "Mozilla/5.0 (compatible; Mp3Bot/0.7; +http://mp3realm.org/mp3bot/)"
66.147.236.94 - - [27/Feb/2011:20:44:57 -0500] "GET /generateTrackBackLink.action?entry=1294763820000" 200 - - "Mozilla/5.0 (compatible; Mp3Bot/0.7; +http://mp3realm.org/mp3bot/)"
66.147.236.94 - - [27/Feb/2011:20:44:58 -0500] "GET /replyToBlogEntry.action?entry=1298241840000&amp;comment=1297979215282" 200 - - "Mozilla/5.0 (compatible; Mp3Bot/0.7; +http://mp3realm.org/mp3bot/)"
66.147.236.94 - - [27/Feb/2011:20:44:58 -0500] "GET /replyToBlogEntry.action?entry=1298241840000&amp;comment=1298582001699" 200 - - "Mozilla/5.0 (compatible; Mp3Bot/0.7; +http://mp3realm.org/mp3bot/)"
66.249.72.46 - - [27/Feb/2011:21:19:29 -0500] "GET /2011/02/18" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.8 - - [27/Feb/2011:21:20:56 -0500] "GET /2011/01/17" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.46 - - [27/Feb/2011:21:29:15 -0500] "GET /2011/02/19" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.8 - - [27/Feb/2011:22:01:13 -0500] "GET /2011/01/05" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.46 - - [27/Feb/2011:22:21:22 -0500] "GET /2011/02/19" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
