157.55.16.229 - - [19/Feb/2011:01:57:16 +0000] "GET /welcome-to-the-new-website" 200 - - "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.72.87 - - [19/Feb/2011:08:05:34 +0000] "GET /authors/heow/rss.xml" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:09:40:46 +0000] "GET /2011/02/04" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [19/Feb/2011:09:40:56 +0000] "GET /2011/02/17" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:09:44:36 +0000] "GET /2011/02/11" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:11:22:59 +0000] "GET /2011/02/10" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.43 - - [19/Feb/2011:12:29:36 +0000] "GET /2011/02/13" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
67.195.112.43 - - [19/Feb/2011:12:43:25 +0000] "GET /what-if-lisp-was-invented-by-the-japanese?" 404 - - "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
66.249.72.87 - - [19/Feb/2011:12:46:19 +0000] "GET /2011/02/09" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
178.239.58.144 - - [19/Feb/2011:13:43:51 +0000] "GET /replyToBlogEntry.action?entry=1296569940000" 200 - - "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
178.239.58.144 - - [19/Feb/2011:13:43:51 +0000] "POST /saveComment.action" 200 - "http://lispnyc.org/blog/default/replyToBlogEntry.action?entry=1296569940000" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
178.239.58.144 - - [19/Feb/2011:13:43:52 +0000] "GET /" 200 - - "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
178.239.58.144 - - [19/Feb/2011:13:43:52 +0000] "GET /replyToBlogEntry.action?entry=1296569940000" 200 - - "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
178.239.58.144 - - [19/Feb/2011:13:43:52 +0000] "GET /" 200 - - "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
66.249.72.43 - - [19/Feb/2011:13:50:01 +0000] "GET /2011/02/02" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:14:06:47 +0000] "GET /2011/02/08" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.72.87 - - [19/Feb/2011:14:10:05 +0000] "GET /2011/02/07" 200 - - "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
218.213.130.199 - - [19/Feb/2011:14:56:07 +0000] "GET /rdf.xml" 200 - - "DoCoMo/2.0 P901i(c100;TB;W24H11) (compatible; ichiro/mobile goo; +http://help.goo.ne.jp/door/crawler.html)"
218.213.130.199 - - [19/Feb/2011:15:18:28 +0000] "GET /atom.xml" 200 - - "DoCoMo/2.0 P901i(c100;TB;W24H11) (compatible; ichiro/mobile goo; +http://help.goo.ne.jp/door/crawler.html)"
218.213.130.199 - - [19/Feb/2011:15:38:31 +0000] "GET /themes/lisp-nyc/screen.css" 500 - - "ichiro/4.0 (http://help.goo.ne.jp/door/crawler.html)"
218.213.130.199 - - [19/Feb/2011:16:02:11 +0000] "GET /pebble.css" 500 - - "ichiro/4.0 (http://help.goo.ne.jp/door/crawler.html)"
218.213.130.199 - - [19/Feb/2011:16:31:40 +0000] "GET /themes/_pebble/handheld.css" 500 - - "ichiro/4.0 (http://help.goo.ne.jp/door/crawler.html)"
218.213.130.199 - - [19/Feb/2011:16:59:40 +0000] "GET /themes/lisp-nyc/print.css" 500 - - "ichiro/4.0 (http://help.goo.ne.jp/door/crawler.html)"
218.213.130.199 - - [19/Feb/2011:17:49:20 +0000] "GET /" 200 - - "DoCoMo/2.0 P901i(c100;TB;W24H11) (compatible; ichiro/mobile goo; +http://help.goo.ne.jp/door/crawler.html)"
218.213.130.199 - - [19/Feb/2011:18:10:59 +0000] "GET /rss.xml" 200 - - "DoCoMo/2.0 P901i(c100;TB;W24H11) (compatible; ichiro/mobile goo; +http://help.goo.ne.jp/door/crawler.html)"
218.213.130.199 - - [19/Feb/2011:18:33:05 +0000] "GET /subscribe.action" 200 - - "ichiro/4.0 (http://help.goo.ne.jp/door/crawler.html)"
218.213.130.199 - - [19/Feb/2011:18:53:47 +0000] "GET /2011/02" 200 - - "ichiro/4.0 (http://help.goo.ne.jp/door/crawler.html)"
218.213.130.199 - - [19/Feb/2011:19:21:12 +0000] "GET /2011/02/01" 200 - - "ichiro/4.0 (http://help.goo.ne.jp/door/crawler.html)"
218.213.130.199 - - [19/Feb/2011:19:43:16 +0000] "GET /2011/02/18" 200 - - "ichiro/4.0 (http://help.goo.ne.jp/door/crawler.html)"
218.213.130.199 - - [19/Feb/2011:20:09:50 +0000] "GET /search.action" 200 - - "ichiro/4.0 (http://help.goo.ne.jp/door/crawler.html)"
218.213.130.199 - - [19/Feb/2011:20:35:27 +0000] "GET /welcome-to-the-new-website" 200 - - "ichiro/4.0 (http://help.goo.ne.jp/door/crawler.html)"
